fsr,label
614,idle
623,idle
225,idle
779,walking
369,idle
153,idle
1120,walking
2455,heavy_step
3403,heavy_step
3539,heavy_step
3529,heavy_step
3399,heavy_step
3241,heavy_step
33,idle
0,idle
979,walking
864,walking
792,walking
995,walking
103,idle
0,idle
0,idle
0,idle
720,walking
618,idle
1670,heavy_step
1623,heavy_step
2767,heavy_step
3037,heavy_step
3205,heavy_step
3243,heavy_step
3026,heavy_step
1535,heavy_step
724,walking
0,idle
0,idle
0,idle
2032,heavy_step
735,walking
496,idle
1193,walking
663,idle
640,idle
816,walking
554,idle
625,idle
530,idle
1169,walking
1914,heavy_step
992,walking
766,walking
1226,walking
1561,heavy_step
826,walking
733,walking
0,idle
0,idle
0,idle
2355,heavy_step
2383,heavy_step
0,idle
1633,heavy_step
0,idle
1869,heavy_step
0,idle
2160,heavy_step
0,idle
531,idle
0,idle
2737,heavy_step
0,idle
182,idle
1470,walking
0,idle
2794,heavy_step
0,idle
2801,heavy_step
0,idle
2475,heavy_step
0,idle
2559,heavy_step
0,idle
2367,heavy_step
0,idle
2187,heavy_step
0,idle
2239,heavy_step
0,idle
2757,heavy_step
0,idle
2448,heavy_step
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
610,idle
3088,heavy_step
687,idle
0,idle
1565,heavy_step
0,idle
747,walking
0,idle
0,idle
0,idle
74,idle
16,idle
48,idle
118,idle
64,idle
816,walking
828,walking
1906,heavy_step
2559,heavy_step
490,idle
844,walking
0,idle
832,walking
0,idle
799,walking
0,idle
1642,heavy_step
688,idle
634,idle
429,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
81,idle
89,idle
41,idle
0,idle
43,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
434,idle
624,idle
719,walking
697,idle
497,idle
368,idle
318,idle
214,idle
0,idle
596,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
23,idle
46,idle
57,idle
59,idle
106,idle
118,idle
115,idle
122,idle
119,idle
0,idle
2512,heavy_step
2416,heavy_step
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
7,idle
11,idle
11,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
0,idle
